cohort	n	subphenotype	mortality
Edinburgh	147	A	0.438
Edinburgh	147	B	0.155
Edinburgh	147	C	0.243
Edinburgh	147	D	0.262
Edinburgh	147	E	0.053
ARREST	758	A	0.217
ARREST	758	B	0.075
ARREST	758	C	0.192
ARREST	758	D	0.182
ARREST	758	E	0.029
Edinburgh 2	463	A	0.48
Edinburgh 2	463	B	0.21
Edinburgh 2	463	C	0.14
Edinburgh 2	463	D	0.38
Edinburgh 2	463	E	0.04
IDISA	490	A	0.78
IDISA	490	B	0.39
IDISA	490	C	0.46
IDISA	490	D	0.43
IDISA	490	E	0.11
SABG-PCS	755	A	0.78
SABG-PCS	755	B	0.20
SABG-PCS	755	C	0.22
SABG-PCS	755	D	0.31
SABG-PCS	755	E	0.21
