cohort	n_cohort	subphenotype	n_subpheno	mortality
Edinburgh	458	A	147	0.438
Edinburgh	458	B	132	0.155
Edinburgh	458	C	103	0.243
Edinburgh	458	D	39	0.262
Edinburgh	458	E	37	0.053
ARREST	758	A	115	0.217
ARREST	758	B	107	0.075
ARREST	758	C	276	0.192
ARREST	758	D	121	0.182
ARREST	758	E	139	0.029
Edinburgh 2	463	A	137	0.48
Edinburgh 2	463	B	123	0.21
Edinburgh 2	463	C	120	0.14
Edinburgh 2	463	D	49	0.38
Edinburgh 2	463	E	34	0.04
IDISA	490	A	114	0.78
IDISA	490	B	113	0.39
IDISA	490	C	97	0.46
IDISA	490	D	86	0.43
IDISA	490	E	80	0.11
SABG-PCS	755	A	244	0.78
SABG-PCS	755	B	238	0.20
SABG-PCS	755	C	124	0.22
SABG-PCS	755	D	80	0.31
SABG-PCS	755	E	69	0.21
