scenario_name	n_total	group	power	scenario_set	power_cf	diff
ARREST_raw	500	A	0.011	main	0.010000000000000009	9.999999999999905e-4
ARREST_raw	500	B	0.993	main	0.9280962869091554	0.06490371309084464
ARREST_raw	500	C	0.023	main	0.024940026931960957	-0.0019400269319609573
ARREST_raw	500	D	0.027	main	0.025235751494656622	0.0017642485053433778
ARREST_raw	500	E	0	main	0.028606786112479354	-0.028606786112479354
ARREST_raw	1000	A	0.009	main	0.010000000000000009	-0.0010000000000000096
ARREST_raw	1000	B	1	main	0.9991383303207383	8.616696792617118e-4
ARREST_raw	1000	C	0.042	main	0.04261049591925692	-6.104959192569162e-4
ARREST_raw	1000	D	0.042	main	0.043296882022732075	-0.0012968820227320724
ARREST_raw	1000	E	0.01139896373056994	main	0.05119816792255416	-0.039799204191984225
ARREST_raw	2000	A	0.008	main	0.010000000000000009	-0.0020000000000000087
ARREST_raw	2000	B	1	main	0.9999999809398887	1.9060111267066304e-8
ARREST_raw	2000	C	0.081	main	0.0851226776888423	-0.004122677688842294
ARREST_raw	2000	D	0.077	main	0.08681707003222394	-0.009817070032223943
ARREST_raw	2000	E	0.07507507507507508	main	0.10644640673449168	-0.03137133165941661
ARREST_raw	3000	A	0.006	main	0.010000000000000009	-0.004000000000000009
ARREST_raw	3000	B	1	main	0.9999999999998705	1.2945200467129325e-13
ARREST_raw	3000	C	0.134	main	0.13539830083755144	-0.001398300837551436
ARREST_raw	3000	D	0.133	main	0.13830206132904965	-0.0053020613290496454
ARREST_raw	3000	E	0.148	main	0.1718292421572729	-0.023829242157272917
ARREST_raw	5000	A	0.009	main	0.010000000000000009	-0.0010000000000000096
ARREST_raw	5000	B	1	main	1	0
ARREST_raw	5000	C	0.274	main	0.2507060081130862	0.023293991886913834
ARREST_raw	5000	D	0.266	main	0.2561842486220731	0.009815751377926896
ARREST_raw	5000	E	0.351	main	0.3180951774884645	0.03290482251153548
ARREST_raw	7500	A	0.008	main	0.010000000000000009	-0.0020000000000000087
ARREST_raw	7500	B	1	main	1	0
ARREST_raw	7500	C	0.428	main	0.40343432593154327	0.024565674068456722
ARREST_raw	7500	D	0.424	main	0.4115714943602041	0.012428505639795862
ARREST_raw	7500	E	0.597	main	0.49982298363940736	0.09717701636059262
ARREST_raw	10000	A	0.01	main	0.010000000000000009	-8.673617379884035e-18
ARREST_raw	10000	B	1	main	1	0
ARREST_raw	10000	C	0.56	main	0.5462506226930257	0.013749377306974342
ARREST_raw	10000	D	0.579	main	0.5558282163924887	0.023171783607511265
ARREST_raw	10000	E	0.752	main	0.6546736611586546	0.09732633884134545
ARREST_raw	15000	A	0.006	main	0.010000000000000009	-0.004000000000000009
ARREST_raw	15000	B	1	main	1	0
ARREST_raw	15000	C	0.747	main	0.7646105419493915	-0.01761054194939149
ARREST_raw	15000	D	0.77	main	0.7736312502201788	-0.003631250220178739
ARREST_raw	15000	E	0.921	main	0.8568594701328857	0.06414052986711438
ARREST_raw	20000	A	0.012	main	0.010000000000000009	0.0019999999999999914
ARREST_raw	20000	B	1	main	1	0
ARREST_raw	20000	C	0.892	main	0.8908883747187328	0.0011116252812671812
ARREST_raw	20000	D	0.91	main	0.897153836096221	0.012846163903779018
ARREST_raw	20000	E	0.985	main	0.9484235910490456	0.036576408950954375
