test_type	target_group	NNS	NNR
Balanced/Moderate	B	495	141
High Sens/High Spec	B	280	50
High Sens/Low Spec	B	468	184
Low Sens/High Spec	B	395	56
Near-Perfect	B	247	37
Perfect (100%)	B	241	34
Balanced/Moderate	C	52,338	21,902
High Sens/High Spec	C	28,604	10,804
High Sens/Low Spec	C	16,668	8,946
Low Sens/High Spec	C	60,053	17,216
Near-Perfect	C	12,745	4,675
Perfect (100%)	C	10,831	3,944
Balanced/Moderate	D	4,087	1,209
High Sens/High Spec	D	7,676	1,487
High Sens/Low Spec	D	2,900	1,171
Low Sens/High Spec	D	9,346	1,437
Near-Perfect	D	9,888	1,646
Perfect (100%)	D	10,639	1,699
Balanced/Moderate	E	8,342	2,587
High Sens/High Spec	E	64,212,020	13,808,126
High Sens/Low Spec	E	4,870	2,042
Low Sens/High Spec	E	338,169	57,217
Near-Perfect	E	19,180	3,639
Perfect (100%)	E	8,876	1,628
