scenario_name	test_type_clean	target_group	data_source	NNS	NNR	Bias	MSE	Wrong_Dir	True_Beta	Predicted_Beta	Empirical_Beta
ARREST_raw	Balanced/Moderate	B	Closed Form	495	141	-1.703	-	-	2.934	1.231	1.231
ARREST_raw	High Sens/High Spec	B	Closed Form	280	50	-0.710	-	-	2.934	2.224	2.224
ARREST_raw	High Sens/Low Spec	B	Closed Form	468	184	-1.858	-	-	2.934	1.076	1.076
ARREST_raw	Low Sens/High Spec	B	Closed Form	395	56	-0.878	-	-	2.934	2.056	2.056
ARREST_raw	Near-Perfect	B	Closed Form	247	37	-0.177	-	-	2.934	2.757	2.757
ARREST_raw	Perfect	B	Closed Form	241	34	0.000	-	-	2.934	2.934	2.934
ARREST_raw	Perfect	B	Simulation	159	18	0.554	0.425	0.0%	-	-	NaN
ARREST_raw	Balanced/Moderate	C	Closed Form	52,338	21,902	0.335	-	-	-0.236	0.099	0.099
ARREST_raw	High Sens/High Spec	C	Closed Form	28,604	10,804	0.094	-	-	-0.236	-0.142	-0.142
ARREST_raw	High Sens/Low Spec	C	Closed Form	16,668	8,946	0.391	-	-	-0.236	0.155	0.155
ARREST_raw	Low Sens/High Spec	C	Closed Form	60,053	17,216	0.124	-	-	-0.236	-0.112	-0.112
ARREST_raw	Near-Perfect	C	Closed Form	12,745	4,675	0.019	-	-	-0.236	-0.216	-0.216
ARREST_raw	Perfect	C	Closed Form	10,831	3,944	0.000	-	-	-0.236	-0.236	-0.236
ARREST_raw	Balanced/Moderate	D	Closed Form	4,087	1,209	0.079	-	-	0.336	0.415	0.415
ARREST_raw	High Sens/High Spec	D	Closed Form	7,676	1,487	0.028	-	-	0.336	0.365	0.365
ARREST_raw	High Sens/Low Spec	D	Closed Form	2,900	1,171	0.087	-	-	0.336	0.424	0.424
ARREST_raw	Low Sens/High Spec	D	Closed Form	9,346	1,437	0.036	-	-	0.336	0.373	0.373
ARREST_raw	Near-Perfect	D	Closed Form	9,888	1,646	0.006	-	-	0.336	0.343	0.343
ARREST_raw	Perfect	D	Closed Form	10,639	1,699	0.000	-	-	0.336	0.336	0.336
ARREST_raw	Balanced/Moderate	E	Closed Form	8,342	2,587	1.542	-	-	-1.204	0.338	0.338
ARREST_raw	High Sens/High Spec	E	Closed Form	64,212,020	13,808,126	1.210	-	-	-1.204	0.007	0.007
ARREST_raw	High Sens/Low Spec	E	Closed Form	4,870	2,042	1.571	-	-	-1.204	0.367	0.367
ARREST_raw	Low Sens/High Spec	E	Closed Form	338,169	57,217	1.298	-	-	-1.204	0.094	0.094
ARREST_raw	Near-Perfect	E	Closed Form	19,180	3,639	0.611	-	-	-1.204	-0.593	-0.593
ARREST_raw	Perfect	E	Closed Form	8,876	1,628	0.000	-	-	-1.204	-1.204	-1.204
