target_group	test_type	NNS	NNR	Bias	MSE	Wrong_dir
B	Balanced/Moderate	437	124	-1.662	2.985	0.0
B	High Sens/High Spec	219	39	-0.690	1.213	0.0
B	High Sens/Low Spec	424	166	-1.815	3.439	0.0
B	Low Sens/High Spec	329	47	-0.940	1.564	0.0
B	Near-Perfect	190	29	-0.314	1.083	0.0
B	Perfect (100%)	190	27	-0.142	0.994	0.0
C	Balanced/Moderate	54,125	22,653	0.335	0.113	1.0
C	High Sens/High Spec	27,875	10,522	0.094	0.012	0.0
C	High Sens/Low Spec	17,062	9,153	0.391	0.155	1.0
C	Low Sens/High Spec	66,250	18,994	0.122	0.016	0.0
C	Near-Perfect	11,875	4,353	0.016	0.007	0.0
C	Perfect (100%)	10,718	3,900	0.005	0.007	0.0
D	Balanced/Moderate	4,015	1,191	0.087	0.030	0.0
D	High Sens/High Spec	7,421	1,439	0.034	0.019	0.0
D	High Sens/Low Spec	2,875	1,162	0.085	0.033	0.0
D	Low Sens/High Spec	8,000	1,229	0.040	0.022	0.0
D	Near-Perfect	10,156	1,691	0.016	0.014	0.0
D	Perfect (100%)	10,187	1,627	0.009	0.015	0.0
E	Balanced/Moderate	8,281	2,567	1.544	2.398	1.0
E	High Sens/High Spec	>1,000,000	-	-	-	-
E	High Sens/Low Spec	4,796	2,015	1.564	2.462	1.0
E	Low Sens/High Spec	326,000	55,154	1.298	1.686	1.0
E	Near-Perfect	17,687	3,357	0.603	0.414	0.0
E	Perfect (100%)	7,109	1,306	0.016	0.231	0.0
