test_type	event_rate_multiplier	proportion_multiplier	nns	nnr	bias
Perfect (100%)	1	1	24080	8565	0
Perfect (100%)	1	1.1	22041	7840	0
Perfect (100%)	1	1.2	20344	7236	0
Perfect (100%)	1	1.3	18911	6726	0
Perfect (100%)	1	1.4	17684	6290	0
Perfect (100%)	1	1.5	16624	5913	0
Perfect (100%)	1	1.6	15698	5583	0
Perfect (100%)	1	1.7000000000000002	14882	5294	0
Perfect (100%)	1	1.8	14160	5037	-1.3877787807814457e-16
Perfect (100%)	1	1.9	13515	4807	-1.3877787807814457e-16
Perfect (100%)	1	2	12937	4602	-1.3877787807814457e-16
Perfect (100%)	1.1	1	22041	7840	0
Perfect (100%)	1.1	1.1	20190	7181	-1.3877787807814457e-16
Perfect (100%)	1.1	1.2	18650	6634	0
Perfect (100%)	1.1	1.3	17350	6171	0
Perfect (100%)	1.1	1.4	16238	5776	0
Perfect (100%)	1.1	1.5	15277	5434	1.3877787807814457e-16
Perfect (100%)	1.1	1.6	14439	5136	-1.3877787807814457e-16
Perfect (100%)	1.1	1.7000000000000002	13701	4873	-1.3877787807814457e-16
Perfect (100%)	1.1	1.8	13048	4641	1.3877787807814457e-16
Perfect (100%)	1.1	1.9	12465	4434	2.7755575615628914e-16
Perfect (100%)	1.1	2	11943	4248	2.7755575615628914e-16
Perfect (100%)	1.2	1	20344	7236	0
Perfect (100%)	1.2	1.1	18650	6634	0
Perfect (100%)	1.2	1.2	17242	6133	0
Perfect (100%)	1.2	1.3	16053	5710	1.3877787807814457e-16
Perfect (100%)	1.2	1.4	15038	5349	0
Perfect (100%)	1.2	1.5	14160	5037	0
Perfect (100%)	1.2	1.6	13395	4764	0
Perfect (100%)	1.2	1.7000000000000002	12722	4525	1.3877787807814457e-16
Perfect (100%)	1.2	1.8	12127	4313	-1.3877787807814457e-16
Perfect (100%)	1.2	1.9	11597	4125	1.3877787807814457e-16
Perfect (100%)	1.2	2	11122	3956	-1.3877787807814457e-16
Perfect (100%)	1.3	1	18911	6726	0
Perfect (100%)	1.3	1.1	17350	6171	0
Perfect (100%)	1.3	1.2	16053	5710	1.3877787807814457e-16
Perfect (100%)	1.3	1.3	14960	5321	0
Perfect (100%)	1.3	1.4	14025	4989	0
Perfect (100%)	1.3	1.5	13219	4702	-1.3877787807814457e-16
Perfect (100%)	1.3	1.6	12516	4452	0
Perfect (100%)	1.3	1.7000000000000002	11899	4232	1.3877787807814457e-16
Perfect (100%)	1.3	1.8	11353	4038	1.3877787807814457e-16
Perfect (100%)	1.3	1.9	10868	3866	0
Perfect (100%)	1.3	2	10434	3711	0
Perfect (100%)	1.4	1	17684	6290	0
Perfect (100%)	1.4	1.1	16238	5776	0
Perfect (100%)	1.4	1.2	15038	5349	0
Perfect (100%)	1.4	1.3	14025	4989	0
Perfect (100%)	1.4	1.4	13161	4681	0
Perfect (100%)	1.4	1.5	12416	4416	1.3877787807814457e-16
Perfect (100%)	1.4	1.6	11767	4185	0
Perfect (100%)	1.4	1.7000000000000002	11198	3983	1.3877787807814457e-16
Perfect (100%)	1.4	1.8	10695	3804	0
Perfect (100%)	1.4	1.9	10249	3646	0
Perfect (100%)	1.4	2	9850	3504	-1.3877787807814457e-16
Perfect (100%)	1.5	1	16624	5913	0
Perfect (100%)	1.5	1.1	15277	5434	1.3877787807814457e-16
Perfect (100%)	1.5	1.2	14160	5037	0
Perfect (100%)	1.5	1.3	13219	4702	-1.3877787807814457e-16
Perfect (100%)	1.5	1.4	12416	4416	1.3877787807814457e-16
Perfect (100%)	1.5	1.5	11724	4170	1.3877787807814457e-16
Perfect (100%)	1.5	1.6	11122	3956	1.3877787807814457e-16
Perfect (100%)	1.5	1.7000000000000002	10595	3769	0
Perfect (100%)	1.5	1.8	10130	3603	-2.7755575615628914e-16
Perfect (100%)	1.5	1.9	9718	3457	-1.3877787807814457e-16
Perfect (100%)	1.5	2	9351	3326	-1.3877787807814457e-16
Perfect (100%)	1.6	1	15698	5583	0
Perfect (100%)	1.6	1.1	14439	5136	-1.3877787807814457e-16
Perfect (100%)	1.6	1.2	13395	4764	0
Perfect (100%)	1.6	1.3	12516	4452	0
Perfect (100%)	1.6	1.4	11767	4185	0
Perfect (100%)	1.6	1.5	11122	3956	1.3877787807814457e-16
Perfect (100%)	1.6	1.6	10562	3757	0
Perfect (100%)	1.6	1.7000000000000002	10073	3583	1.3877787807814457e-16
Perfect (100%)	1.6	1.8	9641	3430	1.3877787807814457e-16
Perfect (100%)	1.6	1.9	9260	3294	2.7755575615628914e-16
Perfect (100%)	1.6	2	8921	3173	0
Perfect (100%)	1.7000000000000002	1	14882	5294	0
Perfect (100%)	1.7000000000000002	1.1	13701	4873	-1.3877787807814457e-16
Perfect (100%)	1.7000000000000002	1.2	12722	4525	1.3877787807814457e-16
Perfect (100%)	1.7000000000000002	1.3	11899	4232	0
Perfect (100%)	1.7000000000000002	1.4	11198	3983	1.3877787807814457e-16
Perfect (100%)	1.7000000000000002	1.5	10595	3769	-1.3877787807814457e-16
Perfect (100%)	1.7000000000000002	1.6	10073	3583	0
Perfect (100%)	1.7000000000000002	1.7000000000000002	9616	3421	1.3877787807814457e-16
Perfect (100%)	1.7000000000000002	1.8	9215	3278	0
Perfect (100%)	1.7000000000000002	1.9	8861	3152	0
Perfect (100%)	1.7000000000000002	2	8547	3040	0
Perfect (100%)	1.8	1	14160	5037	-1.3877787807814457e-16
Perfect (100%)	1.8	1.1	13048	4641	0
Perfect (100%)	1.8	1.2	12127	4313	1.3877787807814457e-16
Perfect (100%)	1.8	1.3	11353	4038	1.3877787807814457e-16
Perfect (100%)	1.8	1.4	10695	3804	1.3877787807814457e-16
Perfect (100%)	1.8	1.5	10130	3603	2.7755575615628914e-16
Perfect (100%)	1.8	1.6	9641	3430	0
Perfect (100%)	1.8	1.7000000000000002	9215	3278	0
Perfect (100%)	1.8	1.8	8842	3145	0
Perfect (100%)	1.8	1.9	8513	3028	0
Perfect (100%)	1.8	2	8222	2925	-1.3877787807814457e-16
Perfect (100%)	1.9	1	13515	4807	-1.3877787807814457e-16
