test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Perfect (100%)	1	1	B	1	1	1064	143	2.9338568698359038	2.9338568698359087	4.884981308350689e-15
Perfect (100%)	1	1	B	1	1.1	1821	244	2.9338568698359038	2.933856869835896	-7.549516567451064e-15
Perfect (100%)	1	1	B	1	1.2	4808	645	2.9338568698359038	2.9338568698358864	-1.7319479184152442e-14
Perfect (100%)	1	1	B	1	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	1.4	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	1.5	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	1.6	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	1.7000000000000002	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	1.8	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	1.9	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1	2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1	1821	244	2.9338568698359038	2.933856869835896	-7.549516567451064e-15
Perfect (100%)	1	1	B	1.1	1.1	5673	761	2.9338568698359038	2.9338568698358833	-2.042810365310288e-14
Perfect (100%)	1	1	B	1.1	1.2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.4	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.5	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.6	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.7000000000000002	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.8	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	1.9	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.1	2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1	4808	645	2.9338568698359038	2.9338568698358864	-1.7319479184152442e-14
Perfect (100%)	1	1	B	1.2	1.1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.4	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.5	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.6	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.7000000000000002	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.8	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	1.9	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.2	2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.4	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.5	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.6	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.7000000000000002	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.8	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	1.9	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.3	2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.4	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.5	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.6	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.7000000000000002	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.8	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	1.9	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.4	2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.4	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.5	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.6	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.7000000000000002	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.8	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	1.9	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.5	2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.6	1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.6	1.1	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.6	1.2	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
Perfect (100%)	1	1	B	1.6	1.3	26729	3583	2.9338568698359038	2.933856869835696	-2.078337502098293e-13
