test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Perfect (100%)	1	1	E	1	1	18189	3235	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.1	16534	2941	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1	1.2	15155	2695	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.3	13988	2488	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.4	12987	2310	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.5	12121	2156	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1	1.6	11362	2021	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.7000000000000002	10693	1902	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.8	10098	1796	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	1.9	9566	1701	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1	2	9086	1616	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.1	1	16534	2941	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.1	1.1	15029	2673	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	1.2	13776	2450	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.1	1.3	12715	2262	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	1.4	11805	2100	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.1	1.5	11017	1960	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	1.6	10328	1837	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	1.7000000000000002	9719	1729	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	1.8	9178	1633	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	1.9	8695	1547	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.1	2	8259	1469	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.2	1	15155	2695	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.1	13776	2450	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.2	1.2	12626	2246	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.3	11654	2073	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.4	10820	1925	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.5	10098	1796	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.6	9466	1684	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.7000000000000002	8908	1585	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.2	1.8	8412	1496	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	1.9	7969	1418	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.2	2	7570	1347	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.3	1	13988	2488	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.1	12715	2262	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.2	11654	2073	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.3	10756	1913	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.4	9987	1776	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.3	1.5	9320	1658	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.6	8736	1554	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.7000000000000002	8222	1463	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.3	1.8	7764	1381	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	1.9	7355	1308	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.3	2	6986	1243	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1	12987	2310	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.1	11805	2100	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.2	10820	1925	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.3	9987	1776	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.4	1.4	9272	1649	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.5	8653	1539	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.6	8111	1443	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.7000000000000002	7633	1358	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.8	7209	1282	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	1.9	6828	1215	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.4	2	6486	1154	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1	12121	2156	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.5	1.1	11017	1960	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1.2	10098	1796	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1.3	9320	1658	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1.4	8653	1539	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1.5	8075	1436	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1.6	7570	1347	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.5	1.7000000000000002	7124	1267	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.5	1.8	6727	1197	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.5	1.9	6372	1134	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.5	2	6053	1077	-1.2039728043259361	-1.203972804325936	2.220446049250313e-16
Perfect (100%)	1	1	E	1.6	1	11362	2021	-1.2039728043259361	-1.2039728043259361	0
Perfect (100%)	1	1	E	1.6	1.1	10328	1837	-1.2039728043259361	-1.2039728043259361	0
