test_type	sensitivity	specificity	target_group	event_rate_multiplier	proportion_multiplier	nns_closed_form	nnr_closed_form	true_beta	predicted_beta	bias_closed_form
Perfect (100%)	1	1	C	1	1	24080	8565	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.1	22041	7840	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.2	20344	7236	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.3	18911	6726	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.4	17684	6290	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.5	16624	5913	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.6	15698	5583	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.7000000000000002	14882	5294	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1	1.8	14160	5037	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1	1.9	13515	4807	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1	2	12937	4602	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.1	1	22041	7840	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.1	1.1	20190	7181	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.1	1.2	18650	6634	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.1	1.3	17350	6171	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.1	1.4	16238	5776	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.1	1.5	15277	5434	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.1	1.6	14439	5136	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.1	1.7000000000000002	13701	4873	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.1	1.8	13048	4641	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.1	1.9	12465	4434	-0.23572233352106983	-0.23572233352106955	2.7755575615628914e-16
Perfect (100%)	1	1	C	1.1	2	11943	4248	-0.23572233352106983	-0.23572233352106955	2.7755575615628914e-16
Perfect (100%)	1	1	C	1.2	1	20344	7236	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.2	1.1	18650	6634	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.2	1.2	17242	6133	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.2	1.3	16053	5710	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.2	1.4	15038	5349	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.2	1.5	14160	5037	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.2	1.6	13395	4764	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.2	1.7000000000000002	12722	4525	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.2	1.8	12127	4313	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.2	1.9	11597	4125	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.2	2	11122	3956	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.3	1	18911	6726	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.3	1.1	17350	6171	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.3	1.2	16053	5710	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.3	1.3	14960	5321	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.3	1.4	14025	4989	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.3	1.5	13219	4702	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.3	1.6	12516	4452	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.3	1.7000000000000002	11899	4232	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.3	1.8	11353	4038	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.3	1.9	10868	3866	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.3	2	10434	3711	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1	17684	6290	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.1	16238	5776	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.2	15038	5349	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.3	14025	4989	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.4	13161	4681	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.5	12416	4416	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.4	1.6	11767	4185	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.7000000000000002	11198	3983	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.4	1.8	10695	3804	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	1.9	10249	3646	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.4	2	9850	3504	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1	16624	5913	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.5	1.1	15277	5434	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.2	14160	5037	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.5	1.3	13219	4702	-0.23572233352106983	-0.23572233352106997	-1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.4	12416	4416	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.5	11724	4170	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.6	11122	3956	-0.23572233352106983	-0.2357223335210697	1.3877787807814457e-16
Perfect (100%)	1	1	C	1.5	1.7000000000000002	10595	3769	-0.23572233352106983	-0.23572233352106983	0
Perfect (100%)	1	1	C	1.5	1.8	10130	3603	-0.23572233352106983	-0.2357223335210701	-2.7755575615628914e-16
