power_hard	power_soft	mean_enrol_hard	se_enrol_hard	mean_enrol_soft	se_enrol_soft	mean_treat_hard	se_treat_hard	mean_treat_soft	se_treat_soft	mean_ess_hard	se_ess_hard	mean_ess_soft	se_ess_soft	mean_beta_hard	se_beta_hard	mean_beta_soft	se_beta_soft	bias_hard	mse_hard	bias_soft	mse_soft	true_beta	sens_emp	spec_emp	score_version	snr
0.292	0.286	2341.122	2.1330677880406785	2341.122	2.1330677880406785	1170.826	1.5074509161259804	1169.98	1.4553636544635389	2341.122	2.1330677880406785	2341.122	2.1330677880406785	0.20609110425721208	0.00667691791026035	0.19684811333104546	0.006951331613753817	0.4418134377782819	0.21744514895886113	0.4325704468521153	0.21122937608082096	-0.23572233352106983	0.9000391370208665	0.3905886468820199	binary	1
0.28	0.178	2344.414	2.1566147505673627	3284	0	1172.126	1.5222189557019044	1093.69	1.1488269699191551	2344.414	2.1566147505673627	2189	0	0.1962070741297439	0.006706464928581432	0.16993038096889074	0.006352641863066353	0.4319294076508137	0.2090063724408909	0.40565271448996054	0.18469179803462465	-0.23572233352106983	0.9000293248551813	0.3888253213051429	tertile	1
0.258	0.128	2346.21	2.0437136126819047	3284	0	1173.35	1.506056909558752	1025.35	1.126125800537966	2346.21	2.0437136126819047	2052.5	0	0.20265116288221352	0.006430235917274289	0.16156591300448522	0.006166694468462853	0.4383734964032834	0.21280394139078984	0.39728824652555506	0.176813983040368	-0.23572233352106983	0.9000060752927334	0.388132737038856	quartile	1
0.256	0.088	2343.398	2.0274309221989726	3284	0	1172.892	1.5334613393753092	904.872	1.0927742415916348	2343.398	2.0274309221989726	1805	0	0.1923009728314748	0.006600193650858444	0.13980546045934183	0.006803174335507309	0.4280233063525446	0.20494166633915148	0.3755277939804117	0.16411643139040785	-0.23572233352106983	0.9000025285299984	0.38941452493464723	decile	1
0.286	0.066	2346.05	2.0930802588386044	3284	0	1173.37	1.3551749696614062	771.312	1.0232944713767882	2346.05	2.0930802588386044	1544.2294169945633	0.5757964288118715	0.20770329702253001	0.0068007870391587994	0.14944794979305073	0.007005024140180287	0.44342563054359985	0.2197053912946323	0.38517028331412057	0.17284225838732967	-0.23572233352106983	0.9000332625696797	0.3880741929410699	continuous	1
0.116	0.1	1143	1.200974887898463	1143	1.200974887898463	570.708	0.9823275455842756	571.254	0.9533460575314829	1143	1.200974887898463	1143	1.200974887898463	-0.161367843973222	0.01064112759836285	-0.16806427541808827	0.01062814940510316	0.07435448954784782	0.06203215480167615	0.06765805810298156	0.060943435155086566	-0.23572233352106983	0.900010786997793	0.9565928559350625	binary	3
0.122	0.042	1141.03	1.1824680381822779	3284	0	570.896	0.9330549560996954	1093.94	1.1538629031208156	1141.03	1.1824680381822779	2189	0	-0.1819755290239575	0.010589948702259176	0.0613976877079372	0.006196866596479503	0.05374680449711234	0.058850078738374736	0.29712002122900705	0.10744248366679275	-0.23572233352106983	0.9000100570834477	0.9572141120453811	tertile	3
0.112	0.048	1143.474	1.1964219569190444	3284	0	572.566	0.99137123311284725	1027.37	1.0869393148415862	1143.474	1.1964219569190444	2052.5	0	-0.15785996778866623	0.010604101701504953	0.058091200167478235	0.006841829345448339	0.07786236573240361	0.062173587472480835	0.29381353368854807	0.10968489634587836	-0.23572233352106983	0.9000106414596563	0.9572119249250535	quartile	3
0.124	0.008	1139.96	1.2670436453407579	3284	0	570.542	0.9854494879935619	901.822	1.1304337188820806	1139.96	1.2670436453407579	1805	0	-0.16701140869833014	0.01075568032278203	0.015303354146913426	0.006531756627253885	0.06871092482273969	0.06244783613373059	0.2510256876679833	0.08430315434338373	-0.23572233352106983	0.9000025590525343	0.9572292745030309	decile	3
0.096	0.02	1142.848	1.1813895015229385	3284	0	570.304	0.991635947161763	690.15	0.9411240241635082	1142.848	1.1813895015229385	1378.2349470010643	0.7738272364793647	-0.16634095156902307	0.010292579826513876	-0.08202855084266698	0.008337515826320292	0.06938138195204677	0.05767643870467085	0.15369378267840283	0.05830934974091266	-0.23572233352106983	0.9000124344274458	0.9570242417339854	continuous	3
