sample_size	accuracy	dgm	group	model_type	power	type_s	type_m	mean_prop_bias	rmse_log
3000	0.7	PO	B	Binary (death)	0.147	0	0.903846634561446	-0.6398688098758996	1.0617177652400571
3000	0.7	PO	B	Ordinal (polr)	0.999	0	0.5979974631558277	-0.4023999027951572	0.6120959982924546
3000	0.7	PO	C	Binary (death)	0.023	0.019	5.008374459918276	0.6383271903904959	0.2499255642553304
3000	0.7	PO	C	Ordinal (polr)	0.048	0.004	2.319479315436094	0.596417539450433	0.12813158832710625
3000	0.7	PO	D	Binary (death)	0.066	0.007	3.6612928446426296	-0.265844866576047	0.2567802196661905
3000	0.7	PO	D	Ordinal (polr)	0.111	0.003	2.195056707773716	-0.29464419885040716	0.1521793144782724
3000	0.7	PO	E	Binary (death)	0.024	0.011	1.93368160026442	0.8579063769329787	0.9084469955598032
3000	0.7	PO	E	Ordinal (polr)	0.588	0	0.7158145058913341	0.4533567714743797	0.321761203579917
3000	1	PO	B	Binary (death)	0.322	0	1.3960092604134438	1.489671469884607	6.085475986363641
3000	1	PO	B	Ordinal (polr)	1	0	1.0021823210511056	0.00218232105110552	0.19122389204525592
3000	1	PO	C	Binary (death)	0.066	0.01	4.6397334155755585	0.01890564258938777	0.23727794443930025
3000	1	PO	C	Ordinal (polr)	0.178	0.001	2.382221610185244	0.01540446084430831	0.11117333661014644
3000	1	PO	D	Binary (death)	0.099	0.004	3.468860934852608	-0.04734200662175368	0.23723311558047824
3000	1	PO	D	Ordinal (polr)	0.184	0	2.296980057124814	0.01415656849173659	0.14999773432430988
3000	1	PO	E	Binary (death)	0.008	0	3.3652191612845836	-3.038243674147692	6.785248276800712
3000	1	PO	E	Ordinal (polr)	0.96	0	1.0192927437115018	0.00562000537938734	0.16450265762613592
3000	0.7	nonPO	B	Binary (death)	0.158	0	0.8942634392890094	-0.6507957952967871	1.081586262405008
3000	0.7	nonPO	B	Ordinal (polr)	0.062	0.003	4.093669030322937	-0.2449902949494266	0.1726925244449372
3000	0.7	nonPO	C	Binary (death)	0.028	0.013	4.713839134698402	0.6922677630039611	0.24281028309250768
3000	0.7	nonPO	C	Ordinal (polr)	0.025	0.016	9.918608353406286	0.6031069606744646	0.1097595993866028
3000	0.7	nonPO	D	Binary (death)	0.068	0.008	3.6693213981992314	-0.2769309969602604	0.2628564358398401
3000	0.7	nonPO	D	Ordinal (polr)	0.049	0.006	4.6211636853569376	-0.37379168447904265	0.14508961056559383
3000	0.7	nonPO	E	Binary (death)	0.036	0.013	2.0409301383331706	0.8804073914241131	0.7438815526938363
3000	0.7	nonPO	E	Ordinal (polr)	0.035	0.036	16.725417826150128	1.0073792704154458	0.1575277911613204
3000	1	nonPO	B	Binary (death)	0.322	0	1.3960092604134438	1.489671469884607	6.085475986363641
3000	1	nonPO	B	Ordinal (polr)	0.082	0.002	4.369281627553885	0.04333431552626295	0.18077207272835463
3000	1	nonPO	C	Binary (death)	0.054	0.005	4.834079175237212	0.01504508692458758	0.2229481390253598
3000	1	nonPO	C	Ordinal (polr)	0.048	0.016	10.090131776586114	0.04758095038053696	0.11101544824460906
3000	1	nonPO	D	Binary (death)	0.095	0.006	3.4355635698201072	-0.0632744423503653	0.2400474135796427
3000	1	nonPO	D	Ordinal (polr)	0.059	0.006	5.033971450974749	0.02784530565640569	0.15226960524647148
3000	1	nonPO	E	Binary (death)	0.008	0	3.3652191612845836	-3.038243674147692	6.785248276800712
3000	1	nonPO	E	Ordinal (polr)	0.034	0.024	17.653398729073235	0.3164851041856291	0.15870545818382695
