Total trial size	Classification accuracy	Subphenotype	Clinical label	Type I error	Power	Type S error	Type M error
5,000	100%	A	Elderly/comorbid	0.043			
5,000	100%	B	Nosocomial IV		1.000	0.000	1.01
5,000	100%	C	Metastatic		0.155	0.001	2.55
5,000	100%	D	CKD		0.179	0.001	2.44
5,000	100%	E	IDU		0.228	0.000	2.25
5,000	70%	A	Elderly/comorbid	0.051			
5,000	70%	B	Nosocomial IV		0.990	0.000	0.64
5,000	70%	C	Metastatic		0.032	0.015	2.71
5,000	70%	D	CKD		0.150	0.003	2.43
5,000	70%	E	IDU		0.028	0.024	1.05
5,000	75%	A	Elderly/comorbid	0.052			
5,000	75%	B	Nosocomial IV		0.998	0.000	0.69
5,000	75%	C	Metastatic		0.042	0.009	2.62
5,000	75%	D	CKD		0.158	0.001	2.42
5,000	75%	E	IDU		0.035	0.016	1.12
5,000	80%	A	Elderly/comorbid	0.052			
5,000	80%	B	Nosocomial IV		0.999	0.000	0.75
5,000	80%	C	Metastatic		0.059	0.008	2.63
5,000	80%	D	CKD		0.160	0.002	2.46
5,000	80%	E	IDU		0.053	0.009	1.23
5,000	85%	A	Elderly/comorbid	0.050			
5,000	85%	B	Nosocomial IV		1.000	0.000	0.81
5,000	85%	C	Metastatic		0.073	0.006	2.56
5,000	85%	D	CKD		0.161	0.003	2.45
5,000	85%	E	IDU		0.072	0.007	1.32
5,000	90%	A	Elderly/comorbid	0.047			
5,000	90%	B	Nosocomial IV		1.000	0.000	0.88
5,000	90%	C	Metastatic		0.100	0.004	2.59
5,000	90%	D	CKD		0.162	0.001	2.47
5,000	90%	E	IDU		0.092	0.004	1.53
5,000	95%	A	Elderly/comorbid	0.042			
5,000	95%	B	Nosocomial IV		1.000	0.000	0.94
5,000	95%	C	Metastatic		0.128	0.004	2.55
5,000	95%	D	CKD		0.170	0.002	2.46
5,000	95%	E	IDU		0.133	0.001	1.83
10,000	100%	A	Elderly/comorbid	0.052			
10,000	100%	B	Nosocomial IV		1.000	0.000	1.01
10,000	100%	C	Metastatic		0.272	0.000	1.93
10,000	100%	D	CKD		0.311	0.000	1.80
10,000	100%	E	IDU		0.421	0.000	1.56
10,000	70%	A	Elderly/comorbid	0.056			
10,000	70%	B	Nosocomial IV		1.000	0.000	0.63
10,000	70%	C	Metastatic		0.050	0.018	1.84
10,000	70%	D	CKD		0.256	0.001	1.76
10,000	70%	E	IDU		0.025	0.018	0.72
10,000	75%	A	Elderly/comorbid	0.057			
10,000	75%	B	Nosocomial IV		1.000	0.000	0.68
10,000	75%	C	Metastatic		0.061	0.009	1.85
10,000	75%	D	CKD		0.262	0.001	1.80
10,000	75%	E	IDU		0.037	0.013	0.77
10,000	80%	A	Elderly/comorbid	0.055			
10,000	80%	B	Nosocomial IV		1.000	0.000	0.74
10,000	80%	C	Metastatic		0.090	0.008	1.87
10,000	80%	D	CKD		0.269	0.001	1.76
10,000	80%	E	IDU		0.064	0.009	0.84
10,000	85%	A	Elderly/comorbid	0.051			
10,000	85%	B	Nosocomial IV		1.000	0.000	0.81
10,000	85%	C	Metastatic		0.127	0.002	1.89
10,000	85%	D	CKD		0.275	0.000	1.80
10,000	85%	E	IDU		0.092	0.007	0.94
10,000	90%	A	Elderly/comorbid	0.059			
10,000	90%	B	Nosocomial IV		1.000	0.000	0.87
10,000	90%	C	Metastatic		0.175	0.003	1.89
10,000	90%	D	CKD		0.286	0.000	1.78
10,000	90%	E	IDU		0.149	0.002	1.04
10,000	95%	A	Elderly/comorbid	0.049			
10,000	95%	B	Nosocomial IV		1.000	0.000	0.94
10,000	95%	C	Metastatic		0.218	0.000	1.91
10,000	95%	D	CKD		0.311	0.001	1.79
10,000	95%	E	IDU		0.242	0.001	1.24
