Cohort	Subphenotype	Prevalence (%)	Baseline mortality (%)	Required N within subgroup	Required total trial N
ARREST	A	15.2	21.7	Inf	Inf
ARREST	B	14.1	7.5	142.85	1012.00
ARREST	C	36.4	19.2	15473.25	42495.37
ARREST	D	16.0	18.2	6618.77	41463.05
ARREST	E	18.3	2.9	4544.18	24780.50
Edinburgh	A	32.1	43.8	Inf	Inf
Edinburgh	B	28.8	15.5	85.15	295.44
Edinburgh	C	22.5	24.3	12972.12	57681.85
Edinburgh	D	8.5	26.2	5167.61	60686.26
Edinburgh	E	8.1	5.3	2515.00	31131.62
Edinburgh 2	A	29.6	48.0	Inf	Inf
Edinburgh 2	B	26.6	21.0	73.21	275.56
Edinburgh 2	C	25.9	14.0	20058.51	77392.43
Edinburgh 2	D	10.6	38.0	4329.06	40905.24
Edinburgh 2	E	7.3	4.0	3311.58	45095.94
IDISA	A	23.3	78.0	Inf	Inf
IDISA	B	23.1	39.0	68.04	295.03
IDISA	C	19.8	46.0	9366.45	47315.06
IDISA	D	17.6	43.0	4197.67	23916.93
IDISA	E	16.3	11.0	1248.19	7645.17
SABG-PCS	A	32.3	78.0	Inf	Inf
SABG-PCS	B	31.5	20.0	74.72	237.05
SABG-PCS	C	16.4	22.0	13943.12	84895.58
SABG-PCS	D	10.6	31.0	4710.48	44455.15
SABG-PCS	E	9.1	21.0	695.46	7609.76
