Test-performance scenario	Sensitivity (%)	Specificity (%)	Target subgroup	Required N randomised	Number needed to screen	Enrolment rate	True OR	Observed OR after enrichment	Bias in log-OR
Near-perfect	99.0	99.0	B	160	1,130	0.141	4.34	3.90	-0.107
High/High	95.0	95.0	B	244	1,429	0.170	4.34	2.85	-0.421
High Sens/Low Spec	95.0	70.0	B	1,273	3,287	0.387	4.34	1.54	-1.035
Balanced	80.0	80.0	B	929	3,312	0.280	4.34	1.66	-0.959
Low Sens/High Spec	70.0	95.0	B	288	2,100	0.137	4.34	2.59	-0.516
Perfect	100.0	100.0	B	143	1,068	0.134	4.34	4.34	0.000
Near-perfect	99.0	99.0	C	17,532	48,900	0.359	0.89	0.90	0.007
High/High	95.0	95.0	C	31,119	84,086	0.370	0.89	0.92	0.034
High Sens/Low Spec	95.0	70.0	C	228,353	429,907	0.531	0.89	1.03	0.148
Balanced	80.0	80.0	C	2,751,832	6,656,800	0.413	0.89	1.01	0.125
Low Sens/High Spec	70.0	95.0	C	41,438	147,376	0.281	0.89	0.93	0.045
Perfect	100.0	100.0	C	15,474	43,508	0.356	0.89	0.89	-0.000
Near-perfect	99.0	99.0	D	6,732	36,531	0.184	1.19	1.19	-0.001
High/High	95.0	95.0	D	7,138	33,982	0.210	1.19	1.19	-0.004
High Sens/Low Spec	95.0	70.0	D	8,433	20,291	0.416	1.19	1.18	-0.011
Balanced	80.0	80.0	D	8,222	26,808	0.307	1.19	1.18	-0.010
Low Sens/High Spec	70.0	95.0	D	7,289	44,017	0.166	1.19	1.18	-0.005
Perfect	100.0	100.0	D	6,619	37,222	0.178	1.19	1.19	0.000
Near-perfect	99.0	99.0	E	8,085	43,875	0.184	0.56	0.69	0.210
High/High	95.0	95.0	E	80,929	385,303	0.210	0.56	0.92	0.494
High Sens/Low Spec	95.0	70.0	E	23,990	57,725	0.416	0.56	1.12	0.691
Balanced	80.0	80.0	E	34,828	113,558	0.307	0.56	1.10	0.675
Low Sens/High Spec	70.0	95.0	E	342,048	2,065,700	0.166	0.56	0.96	0.541
Perfect	100.0	100.0	E	4,545	25,555	0.178	0.56	0.56	-0.000
