Total trial size	Outcome type	Subgroup	Type I error	Power	Type S error	Type M error	Mean absolute bias in log-OR	Mean signed bias in log-OR
2,500	Binary (death)	A	0.047					
2,500	Binary (death)	B		1.000	0.000	1.02	0.278	0.035
2,500	Binary (death)	C		0.090	0.005	3.58	0.133	-0.001
2,500	Binary (death)	D		0.105	0.002	3.49	0.193	0.009
2,500	Binary (death)	E		0.061	0.000	3.18	1.106	-0.475
2,500	Ordinal	A	0.053					
2,500	Ordinal	B		1.000	0.000	1.00	0.167	0.001
2,500	Ordinal	C		0.153	0.003	2.56	0.093	-0.002
2,500	Ordinal	D		0.173	0.002	2.39	0.132	0.003
2,500	Ordinal	E		0.907	0.000	1.08	0.144	-0.013
5,000	Binary (death)	A	0.048					
5,000	Binary (death)	B		1.000	0.000	1.01	0.191	0.015
5,000	Binary (death)	C		0.150	0.001	2.53	0.096	0.004
5,000	Binary (death)	D		0.181	0.002	2.43	0.132	0.005
5,000	Binary (death)	E		0.241	0.000	2.21	0.431	-0.067
5,000	Ordinal	A	0.053					
5,000	Ordinal	B		1.000	0.000	1.00	0.111	0.002
5,000	Ordinal	C		0.300	0.001	1.86	0.069	-0.001
5,000	Ordinal	D		0.316	0.000	1.74	0.092	0.000
5,000	Ordinal	E		0.997	0.000	1.00	0.098	0.001
10,000	Binary (death)	A	0.052					
10,000	Binary (death)	B		1.000	0.000	1.01	0.145	0.013
10,000	Binary (death)	C		0.278	0.000	1.92	0.071	-0.001
10,000	Binary (death)	D		0.319	0.000	1.80	0.097	0.003
10,000	Binary (death)	E		0.413	0.000	1.53	0.256	-0.013
10,000	Ordinal	A	0.038					
10,000	Ordinal	B		1.000	0.000	1.00	0.084	-0.000
10,000	Ordinal	C		0.491	0.000	1.43	0.049	-0.001
10,000	Ordinal	D		0.555	0.000	1.35	0.065	0.002
10,000	Ordinal	E		1.000	0.000	1.01	0.071	-0.004
