Total trial size	Outcome type	Type I error	Classification accuracy
500	Binary (death)	0.030	100%
500	Ordinal	0.048	100%
750	Binary (death)	0.049	100%
750	Ordinal	0.046	100%
1,000	Binary (death)	0.044	100%
1,000	Ordinal	0.053	100%
1,250	Binary (death)	0.045	100%
1,250	Ordinal	0.055	100%
1,500	Binary (death)	0.046	100%
1,500	Ordinal	0.048	100%
1,750	Binary (death)	0.048	100%
1,750	Ordinal	0.053	100%
2,000	Binary (death)	0.044	100%
2,000	Ordinal	0.051	100%
2,500	Binary (death)	0.047	100%
2,500	Ordinal	0.053	100%
3,000	Binary (death)	0.057	100%
3,000	Ordinal	0.047	100%
4,000	Binary (death)	0.043	100%
4,000	Ordinal	0.038	100%
5,000	Binary (death)	0.048	100%
5,000	Ordinal	0.053	100%
7,500	Binary (death)	0.048	100%
7,500	Ordinal	0.043	100%
10,000	Binary (death)	0.052	100%
10,000	Ordinal	0.038	100%
15,000	Binary (death)	0.062	100%
15,000	Ordinal	0.046	100%
20,000	Binary (death)	0.054	100%
20,000	Ordinal	0.044	100%
