Total trial size	Subgroup	Binary power	Ordinal power	Absolute power gain	Relative power gain	Binary mean absolute bias in log-OR	Ordinal mean absolute bias in log-OR	Binary mean signed bias in log-OR	Ordinal mean signed bias in log-OR	Change in absolute bias	Change in signed bias
2,500	B	1.000	1.000	0.000	0.00	0.278	0.167	0.035	0.001	-0.111	-0.034
2,500	C	0.090	0.153	0.063	0.70	0.133	0.093	-0.001	-0.002	-0.040	-0.001
2,500	D	0.105	0.173	0.068	0.65	0.193	0.132	0.009	0.003	-0.062	-0.005
2,500	E	0.061	0.907	0.846	13.87	1.106	0.144	-0.475	-0.013	-0.961	0.462
5,000	B	1.000	1.000	0.000	0.00	0.191	0.111	0.015	0.002	-0.080	-0.012
5,000	C	0.150	0.300	0.150	1.00	0.096	0.069	0.004	-0.001	-0.026	-0.005
5,000	D	0.181	0.316	0.135	0.75	0.132	0.092	0.005	0.000	-0.040	-0.005
5,000	E	0.241	0.997	0.756	3.14	0.431	0.098	-0.067	0.001	-0.333	0.068
10,000	B	1.000	1.000	0.000	0.00	0.145	0.084	0.013	-0.000	-0.060	-0.013
10,000	C	0.278	0.491	0.213	0.77	0.071	0.049	-0.001	-0.001	-0.022	0.000
10,000	D	0.319	0.555	0.236	0.74	0.097	0.065	0.003	0.002	-0.031	-0.001
10,000	E	0.413	1.000	0.587	1.42	0.256	0.071	-0.013	-0.004	-0.185	0.009
