scenario_name	test_type	sensitivity	specificity	target_group	nns_needed	nnr_corresponding	bias	mse
ARREST	Perfect (100%)	1	1	B	2531	339.733	3.0969683715631464	50.57242618644191
ARREST	Perfect (100%)	1	1	C	23062	8198.545	2.6840402241774846e-4	0.007324611087873729
ARREST	Perfect (100%)	1	1	D	10468	1862.815	0.002218824483787048	0.014422238352693621
ARREST	Perfect (100%)	1	1	E	16125	2867.783	-0.10191503134585557	1.0409886498707452
ARREST	Near-Perfect	0.99	0.99	B	1761	249.795	2.419133662887656	45.44414835385547
ARREST	Near-Perfect	0.99	0.99	C	25500	9139.034	0.016537148993474925	0.006828631478197673
ARREST	Near-Perfect	0.99	0.99	D	10468	1930.697	-0.0015823946073293374	0.01434302179825578
ARREST	Near-Perfect	0.99	0.99	E	33375	6148.899	0.555234704764108	0.36484618920953565
ARREST	High Sens/High Spec	0.95	0.95	B	1292	221.469	-0.7504686617385341	9.080017047552994
ARREST	High Sens/High Spec	0.95	0.95	C	50000	18498.428	0.07938988119909965	0.009409691669386351
ARREST	High Sens/High Spec	0.95	0.95	D	10250	2154.661	-0.0110891994723955	0.013839902637077243
ARREST	High Sens/High Spec	0.95	0.95	E	580000	121823.309	1.1017754332684957	1.215098006730127
ARREST	High Sens/Low Spec	0.95	0.7	B	2687	1040.152	-2.3066784747011977	5.373736105069444
ARREST	High Sens/Low Spec	0.95	0.7	C	182000	96666.273	0.3025071887458737	0.0920895022010443
ARREST	High Sens/Low Spec	0.95	0.7	D	8750	3638.752	-0.050633528272895946	0.013943127553135579
ARREST	High Sens/Low Spec	0.95	0.7	E	31875	13248.349	1.4013766639230083	1.9687022886398038
ARREST	Low Sens/High Spec	0.7	0.95	B	1835	251.796	-1.1268105570163367	5.67869520522498
ARREST	Low Sens/High Spec	0.7	0.95	C	89750	25230.816	0.10184673091906496	0.012526142484688488
ARREST	Low Sens/High Spec	0.7	0.95	D	13968	2313.357	-0.019745638820546033	0.015632248604536745
ARREST	Low Sens/High Spec	0.7	0.95	E	NA	NA	NA	NA
ARREST	Balanced/Moderate	0.8	0.8	B	2882	808.14	-2.203133131501301	4.922058797579534
ARREST	Balanced/Moderate	0.8	0.8	C	NA	NA	NA	NA
ARREST	Balanced/Moderate	0.8	0.8	D	10937	3354.992	-0.04129705107779868	0.012051461534011614
ARREST	Balanced/Moderate	0.8	0.8	E	64250	19698.477	1.3834294262888476	1.917462536503299
Conservative	Perfect (100%)	1	1	B	35250	4731.192	0.009313373715446117	0.07133556424138926
Conservative	Perfect (100%)	1	1	C	10875	3864.218	-0.0032629936753747753	0.015953856417243464
Conservative	Perfect (100%)	1	1	D	38125	6781.281	-0.0013856987928686432	0.004014754343648048
Conservative	Perfect (100%)	1	1	E	273000	48554.471	-0.0021233840961718178	0.006281659591279789
Conservative	Near-Perfect	0.99	0.99	B	56250	7958.125	-0.21908154725032403	0.0759874713226183
Conservative	Near-Perfect	0.99	0.99	C	11468	4108.52	0.005044349703147963	0.015745023494593405
Conservative	Near-Perfect	0.99	0.99	D	41125	7580.529	-0.007261870992087268	0.0039032461619174213
Conservative	Near-Perfect	0.99	0.99	E	337000	62104.284	0.05011366015178453	0.006312602998002894
Conservative	High Sens/High Spec	0.95	0.95	B	179000	30547.518	-0.5047471856470824	0.2589895855707628
Conservative	High Sens/High Spec	0.95	0.95	C	13937	5156.893	0.047437166591210625	0.014388537794518165
Conservative	High Sens/High Spec	0.95	0.95	D	47750	10029.306	-0.032337284451173016	0.004279782885425863
Conservative	High Sens/High Spec	0.95	0.95	E	524000	110068.639	0.11999591286770078	0.015890516972079466
Conservative	High Sens/Low Spec	0.95	0.7	B	NA	NA	NA	NA
Conservative	High Sens/Low Spec	0.95	0.7	C	31312	16631.908	0.1878963136890587	0.03877423774561548
Conservative	High Sens/Low Spec	0.95	0.7	D	239500	99534.354	-0.12539972556135406	0.016173901673129657
Conservative	High Sens/Low Spec	0.95	0.7	E	574000	238553.135	0.17505868273918154	0.030913703547240066
Conservative	Low Sens/High Spec	0.7	0.95	B	335000	45936.484	-0.5537276733193831	0.30898371371952166
Conservative	Low Sens/High Spec	0.7	0.95	C	19812	5569.786	0.05931222832302673	0.014555551830985019
Conservative	Low Sens/High Spec	0.7	0.95	D	78250	12959.302	-0.03797787405780933	0.003780342743685052
Conservative	Low Sens/High Spec	0.7	0.95	E	760000	125846.691	0.13652178367484907	0.019613558025703925
Conservative	Balanced/Moderate	0.8	0.8	B	NA	NA	NA	NA
Conservative	Balanced/Moderate	0.8	0.8	C	31312	12944.29	0.16287177485903864	0.030838283353232725
Conservative	Balanced/Moderate	0.8	0.8	D	187000	57351.503	-0.10767284628564691	0.01231053419606309
Conservative	Balanced/Moderate	0.8	0.8	E	754000	231256.899	0.17095307589138975	0.029560131125436873
