power_hard	power_soft	mean_enrol_hard	se_enrol_hard	mean_enrol_soft	se_enrol_soft	mean_treat_hard	se_treat_hard	mean_treat_soft	se_treat_soft	mean_ess_hard	se_ess_hard	mean_ess_soft	se_ess_soft	mean_beta_hard	se_beta_hard	mean_beta_soft	se_beta_soft	bias_hard	mse_hard	bias_soft	mse_soft	true_beta	sens_emp	spec_emp	score_version	snr
0.44	0.424	2174.464	3.419045063507146	2174.464	3.419045063507146	1086.826	2.0468714697379644	1087.084	2.0755977693667913	2174.464	3.419045063507146	2174.464	3.419045063507146	0.2669815876145229	0.006897750650955688	0.2669430015286372	0.006492389123634786	-0.06949064900669003	0.028570853356708045	-0.0695292350925757	0.025867721682371603	0.3364722366212129	0.9000101332389897	0.38923377277158594	binary	1
0.432	0.656	2171.674	3.5720984340363424	3284	0	1084.742	2.094783786031494	1093.838	1.0871556128969333	2171.674	3.5720984340363424	2189	0	0.2733697475371505	0.006676954528948041	0.34485785150751397	0.006104723814896729	-0.0631024890840624	0.02622820329764246	0.00838561488630105	0.01866687731224883	0.3364722366212129	0.9000285255745745	0.3903903381313039	tertile	1
0.414	0.642	2177.124	3.241207815646571	3284	0	1088.948	1.8908307894013934	1026.97	1.1536689751433973	2177.124	3.241207815646571	2052.5	0	0.2624571437276366	0.006653446382240331	0.3548035782744656	0.006296086658704237	-0.07401509289357626	0.027568140007956855	0.018331341653252755	0.020116750986551107	0.3364722366212129	0.9000073007385716	0.3882655605940432	quartile	1
0.436	0.624	2171.454	3.3758911490301635	3284	0	1084.982	1.9467447141225085	902.322	1.0870584271547212	2171.454	3.3758911490301635	1805	0	0.26301644886407477	0.006074280888531032	0.36628585206937	0.006468949218488178	-0.07345578775713812	0.023807300023095623	0.029813615448157096	0.021770656357788624	0.3364722366212129	0.8999944242138986	0.3905160539911949	decile	1
0.448	0.504	2177.938	3.5042574037738445	3284	0	1087.232	2.05618192780709	713.39	1.1070424046853593	2177.938	3.5042574037738445	1425.2213999567055	0.5713810207211955	0.2668634383369326	0.006785745380470358	0.3793317637535501	0.006440549783653015	-0.06960879828428027	0.027822508642500444	0.042859527132337184	0.022535799142348288	0.3364722366212129	0.9000294009188204	0.3878436879193331	continuous	1
0.328	0.32	642.83	1.282224004140301	642.83	1.282224004140301	322.074	0.8608386226631197	321.02	0.8435154038148597	642.83	1.282224004140301	642.83	1.282224004140301	0.3286640894621231	0.009924987551463258	0.31317738272585577	0.009608822082005766	-0.007808147159089768	0.04921515073251161	-0.023294853895357102	0.04661505165802322	0.3364722366212129	0.9000037574233614	0.9567172113897827	binary	3
0.32	0.848	640.752	1.2181875692633772	3284	0	321.034	0.816842795343516	1093.832	1.175910320630076	640.752	1.2181875692633772	2189	0	0.32884670238387836	0.010001937173323365	0.42361269361907533	0.00586037497058845	-0.007625534237334536	0.04997748363473955	0.08714045699786245	0.024731112648950206	0.3364722366212129	0.9000301805395738	0.957159312425866	tertile	3
0.344	0.888	643.984	1.1972511468431486	3284	0	321.686	0.810649809861482	1025.432	1.11608873308543	643.984	1.1972511468431486	2052.5	0	0.3247490629663111	0.010916137701358021	0.46026723068432845	0.0062069832378925695	-0.01172317365490175	0.059599301895732974	0.12379499406311557	0.034549994371911	0.3364722366212129	0.9000039101070524	0.9565060381444209	quartile	3
0.33	0.89	642.486	1.189069965462727	3284	0	320.834	0.7896251666503641	901.738	1.0773839726155654	642.486	1.189069965462727	1805	0	0.3186188777236874	0.010061453267238247	0.48261203460475394	0.00613932678738393	-0.017853358897525495	0.05083393050648463	0.14613979798354104	0.04016481592241284	0.3364722366212129	0.9000080590096213	0.9566939456227865	decile	3
0.304	0.882	643.346	1.2404232615262707	3284	0	322.458	0.8125866514607931	526.524	0.9551394824117174	643.346	1.2404232615262707	1052.4208833906716	0.6553867022946257	0.31450911676373017	0.009882323922570019	0.601815130597475	0.00751166887127093	-0.021963119857482737	0.049214881363063394	0.2653428939762621	0.0985630108302766	0.3364722366212129	0.9000241023916236	0.9566885422672735	continuous	3
