score_version	power_hard	power_soft	mean_ess_hard	mean_ess_soft	bias_hard	bias_soft	mse_hard	mse_soft	sens_emp	spec_emp
binary	0	0	323.5	323.5	-2.8284765115021635	-2.848132352438541	8.036749791158979	8.1190447485701	0.9392389525368249	0.20955846439386538
tertile	0	0	266	266.3333333333333	-2.732515306050529	-2.7141929220671437	7.557044406394835	7.395663283609622	0.9392389525368249	0.3733027254078343
quartile	0.5	0	291.5	250	-2.4862896209593366	-2.3766482941564178	6.4063125589245455	5.651287050438879	0.9404481132075472	0.30092350013099295
decile	0	0	286.5	220	-2.7564179177669024	-2.574905071725812	7.599312651189098	6.750449189577724	0.9399038461538461	0.3160756269592476
continuous	0	0	292.5	168.0324578132117	-2.8370222219987857	-3.00576780056125	8.107957207371927	9.055327871668796	0.9392389525368249	0.2985778711210967
binary	0	0	65	65	-1.3413697332458532	7.289461157137642	1.8118752834285394	124.13081947597439	0.9392389525368249	0.9472053987170721
tertile	0	0.5	66	266.3333333333333	6.294962850825735	-2.514466594642161	118.49006892234574	6.526955323609386	0.9392389525368249	0.9443318354986813
quartile	0	0	75	250	-2.2861955785436154	-2.5233051929110872	5.5683098875728785	6.6075452261289005	0.9404481132075472	0.9208311501178936
decile	0	0	73.5	220	7.296497120139146	-2.6028425862599773	129.3867738549453	6.842451719459519	0.9404481132075472	0.9257474783861672
continuous	0	0	73	115.80006553735167	-1.8324652527176677	-2.4422925796195907	3.3601596784308585	5.969385675638061	0.9404481132075472	0.926860918260414
binary	0	0	382	382	-3.038767883232502	-2.9517004765820425	9.236393827501024	8.714279916944854	1	0.051504781241812944
tertile	0	0	382	266.3333333333333	-3.03065307577518	-2.4716599163683854	9.213167867910844	6.138725943469799	1	0.051504781241812944
quartile	0	0	382	250	-3.0328903001040723	-2.348976090539663	9.213378486106599	5.523640562233313	1	0.051504781241812944
decile	0	0.5	382	220	-2.910399776249703	-2.287678447605164	8.472731037155832	5.407338990809725	1	0.051504781241812944
continuous	0	0	382	168.25238385854504	-2.869803585603605	-2.643567953812309	8.24247333718719	7.037838507036939	1	0.05165513833992095
binary	0	0.5	382	382	-2.852756164697614	-2.3713303391405804	8.15310259032431	5.651552996188213	1	0.05173097251585624
tertile	0	0.5	382	266.3333333333333	-2.8620333283972816	-2.570205093615181	8.253818556957494	6.8883882580666995	1	0.05180724887357541
quartile	0	0.5	382	250	-2.9368723546245548	-2.647658765051544	8.635324542017305	7.564498797481892	1	0.05180724887357541
decile	0	0.5	382	220	-2.955640453369698	-2.3652495164384386	8.762234987406657	5.838608194174487	1	0.05180724887357541
continuous	0	0	382	117.35190036658237	-2.8468189254904517	-2.058365910194737	8.1227121311127	4.237316468297497	1	0.05180724887357541
binary	1	0.5	9414.5	9414.5	0.46226557244311584	0.4901702386382794	0.21406145260109638	0.25581534240227405	0.9498784943781339	0.2543235839587887
tertile	0.5	0	9418	7666.333333333333	0.48507919554255147	0.31850346722121803	0.2470409143564251	0.1073507979425034	0.9498663349843413	0.2538146187870841
quartile	1	0	9415	7187.5	0.41997367846740485	0.34468953479760517	0.17639184348202291	0.11933758524991311	0.9498663349843413	0.2542076322672323
decile	0.5	0	9354.5	6325	0.3645309503920795	0.3200876019181328	0.13320097061315303	0.10298720128889959	0.9498602508647751	0.2623527492900396
continuous	1	0.5	9416	5433.103048774117	0.4469403008312387	0.4244522184415898	0.20001260480721822	0.1807652578664543	0.949848043863324	0.2540443602657375
binary	0	0	4510.5	4510.5	0.03240020025754008	0.25577814726624715	0.0010606566624198968	0.06569765849064578	0.9498419807896401	0.9175482721071274
tertile	0	0.5	4564.5	7666.333333333333	0.17512569703845074	0.37779987406808146	0.03070027110256018	0.1445164900081728	0.9498419807896401	0.9102455761100199
quartile	0	0.5	4519.5	7187.5	0.09615555178737005	0.2792261614314421	0.010536534174991044	0.10397170916039919	0.9498542116838646	0.9164797833587826
decile	0	0	4597.5	6325	0.14353307491038506	0.2254407779434276	0.020915798703378813	0.05603156397817501	0.9498541907104443	0.9059103060701078
