snr	version	power_hard	power_soft	n_enrol_hard	n_enrol_soft	ess_hard	ess_soft	beta_hard	beta_soft	bias_hard	bias_soft	mse_hard	mse_soft	sens_emp	spec_emp
1	binary	0.814	0.814	5289.636	8000	5289.636	5289.636	0.2669085998725289	0.2669085998725289	-0.06956363674868399	-0.06956363674868399	0.004839099557702857	0.004839099557702857	0.9000078902088728	0.39030535786486203
1	continuous	0.814	0.702	5289.636	8000	5289.636	3473.4989621940717	0.2669085998725289	0.2717474096158553	-0.06956363674868399	-0.06472482700535759	0.004839099557702857	0.004189303230873467	0.9000078902088728	0.39030535786486203
1	decile	0.814	0.704	5289.636	8000	5289.636	3473.4989621940717	0.2669085998725289	0.27132673445464384	-0.06956363674868399	-0.06514550216656906	0.004839099557702857	0.004243936452534454	0.9000078902088728	0.39030535786486203
1	octile	0.814	0.696	5289.636	8000	5289.636	3473.4989621940717	0.2669085998725289	0.2711106034255725	-0.06956363674868399	-0.06536163319564037	0.004839099557702857	0.004272143094001437	0.9000078902088728	0.39030535786486203
1	quartile	0.814	0.69	5289.636	8000	5289.636	3473.4989621940717	0.2669085998725289	0.26990315982710955	-0.06956363674868399	-0.06656907679410334	0.004839099557702857	0.004431441985219229	0.9000078902088728	0.39030535786486203
3	binary	0.656	0.656	1562.714	8000	1562.714	1562.714	0.3208895628506374	0.3208895628506374	-0.015582673770575484	-0.015582673770575484	2.4281972184018115e-4	2.4281972184018115e-4	0.9000179299620121	0.9572012242155321
3	continuous	0.656	0.67	1562.714	8000	1562.714	2565.6485331137	0.3208895628506374	0.28775699434581026	-0.015582673770575484	-0.04871524227540264	2.4281972184018115e-4	0.0023731748299511764	0.9000179299620121	0.9572012242155321
3	decile	0.656	0.662	1562.714	8000	1562.714	2565.6485331137	0.3208895628506374	0.28673892744826435	-0.015582673770575484	-0.04973330917294855	2.4281972184018115e-4	0.0024734020412920882	0.9000179299620121	0.9572012242155321
3	octile	0.656	0.658	1562.714	8000	1562.714	2565.6485331137	0.3208895628506374	0.2871114985130628	-0.015582673770575484	-0.049360738108150115	2.4281972184018115e-4	0.002436482466581383	0.9000179299620121	0.9572012242155321
3	quartile	0.656	0.654	1562.714	8000	1562.714	2565.6485331137	0.3208895628506374	0.28489116076435045	-0.015582673770575484	-0.051581075856862446	2.4281972184018115e-4	0.002660607386551398	0.9000179299620121	0.9572012242155321
